timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-04-28,136.85,136.99,134.81,135.74,135.74,4477068,0.0000,1.0
2022-04-27,135.78,137.12,134.63,135.06,135.06,4369052,0.0000,1.0
2022-04-26,139.0,139.87,136.17,136.19,136.19,4887395,0.0000,1.0
2022-04-25,137.59,139.65,135.19,139.1,139.1,5748289,0.0000,1.0
2022-04-22,139.7,140.4399,137.35,138.25,138.25,6508599,0.0000,1.0
2022-04-21,138.23,141.88,137.35,139.85,139.85,9922349,0.0000,1.0
2022-04-20,135.0,139.56,133.38,138.32,138.32,17770306,0.0000,1.0
2022-04-19,126.08,129.4,126.0,129.15,129.15,7971361,0.0000,1.0
2022-04-18,126.6,127.3899,125.53,126.17,126.17,4884150,0.0000,1.0
2022-04-14,128.93,130.58,126.38,126.56,126.56,6384180,0.0000,1.0
2022-04-13,125.64,126.67,124.91,126.14,126.14,3064918,0.0000,1.0
2022-04-12,126.42,127.34,125.5835,125.98,125.98,2690998,0.0000,1.0
2022-04-11,127.95,128.175,126.18,126.37,126.37,3202545,0.0000,1.0
2022-04-08,128.01,128.78,127.27,127.73,127.73,3143309,0.0000,1.0
2022-04-07,128.87,129.2499,126.73,128.55,128.55,3538317,0.0000,1.0
2022-04-06,127.78,129.515,127.25,129.39,129.39,3958057,0.0000,1.0
2022-04-05,129.85,131.23,128.66,128.89,128.89,3102238,0.0000,1.0
2022-04-04,130.26,130.45,128.93,130.27,130.27,2811100,0.0000,1.0
2022-04-01,129.66,130.27,128.06,130.15,130.15,4012373,0.0000,1.0
2022-03-31,130.72,131.88,130.0,130.02,130.02,4274029,0.0000,1.0
2022-03-30,132.01,133.08,131.39,132.13,132.13,2622860,0.0000,1.0
2022-03-29,132.04,132.84,130.43,131.94,131.94,5791032,0.0000,1.0
2022-03-28,130.82,131.5,129.6,131.47,131.47,2483492,0.0000,1.0
2022-03-25,129.5,131.4,129.31,131.35,131.35,3516923,0.0000,1.0
2022-03-24,128.33,129.37,127.8,129.25,129.25,2971075,0.0000,1.0
2022-03-23,129.08,129.32,128.25,128.3,128.3,2924535,0.0000,1.0
2022-03-22,128.5,129.3,127.85,129.06,129.06,2649026,0.0000,1.0
2022-03-21,129.0,129.74,127.4,128.1,128.1,3379393,0.0000,1.0
2022-03-18,127.38,128.93,126.37,128.76,128.76,7400216,0.0000,1.0
2022-03-17,127.1,128.29,126.53,127.96,127.96,3671903,0.0000,1.0
2022-03-16,126.5,127.2842,124.71,127.04,127.04,4292845,0.0000,1.0
2022-03-15,124.0,125.9398,123.22,125.64,125.64,4021228,0.0000,1.0
2022-03-14,124.45,125.16,122.685,123.94,123.94,3289440,0.0000,1.0
2022-03-11,125.0,126.77,123.91,123.96,123.96,4119630,0.0000,1.0
2022-03-10,125.75,126.03,123.125,124.35,124.35,5326835,0.0000,1.0
2022-03-09,127.41,128.1,125.91,126.22,126.22,4403499,0.0000,1.0
2022-03-08,126.62,128.345,124.82,125.68,125.68,4887565,0.0000,1.0
2022-03-07,126.47,127.905,125.62,126.07,126.07,5047358,0.0000,1.0
2022-03-04,124.4,127.35,124.2103,126.62,126.62,4402911,0.0000,1.0
